router_name,benchmark_name,task_id,domain,difficulty,trial,selected_candidate,confidence,fallback_used,success,tool_call_required,tool_call_correct,cost_usd,latency_ms
LLMRouter (live),RouterBench (live),routerbench-0000,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,True,False,,2.36e-05,
LLMRouter (live),RouterBench (live),routerbench-0001,qa_reasoning,0.5,0,cheap-small,0.6,False,False,False,,9.38e-05,
LLMRouter (live),RouterBench (live),routerbench-0002,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,True,False,,5.0600000000000003e-05,
LLMRouter (live),RouterBench (live),routerbench-0003,qa_reasoning,0.0,0,cheap-small,0.6,False,True,False,,2.6000000000000002e-05,
LLMRouter (live),RouterBench (live),routerbench-0004,qa_reasoning,0.5833333333333333,0,cheap-small,0.6,False,False,False,,9.760000000000001e-05,
LLMRouter (live),RouterBench (live),routerbench-0005,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,False,False,,2.34e-05,
LLMRouter (live),RouterBench (live),routerbench-0006,qa_reasoning,0.6666666666666667,0,mid-general,0.6,False,False,False,,0.000144,
LLMRouter (live),RouterBench (live),routerbench-0007,qa_reasoning,0.41666666666666663,0,cheap-small,0.6,False,False,False,,7.840000000000001e-05,
LLMRouter (live),RouterBench (live),routerbench-0008,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,False,False,,6.42e-05,
LLMRouter (live),RouterBench (live),routerbench-0009,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,False,False,,4.6800000000000006e-05,
LLMRouter (live),RouterBench (live),routerbench-0010,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,False,False,,4.74e-05,
LLMRouter (live),RouterBench (live),routerbench-0011,qa_reasoning,0.6666666666666667,0,cheap-small,0.6,False,False,False,,2.22e-05,
LLMRouter (live),RouterBench (live),routerbench-0012,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,True,False,,1.8599999999999998e-05,
LLMRouter (live),RouterBench (live),routerbench-0013,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,False,False,,3.180000000000001e-05,
LLMRouter (live),RouterBench (live),routerbench-0014,qa_reasoning,0.0,0,cheap-small,0.6,False,True,False,,1.7e-05,
LLMRouter (live),RouterBench (live),routerbench-0015,qa_reasoning,0.6666666666666667,0,cheap-small,0.6,False,False,False,,1.6800000000000002e-05,
LLMRouter (live),RouterBench (live),routerbench-0016,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,True,False,,8.08e-05,
LLMRouter (live),RouterBench (live),routerbench-0017,qa_reasoning,1.0,0,cheap-small,0.6,False,False,False,,1.44e-05,
LLMRouter (live),RouterBench (live),routerbench-0018,qa_reasoning,0.33333333333333337,0,cheap-small,0.6,False,True,False,,7.860000000000001e-05,
